COUNTRIES,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Algeria,34,32,32,32,32,32,32,32,389,23
Angola,43,34,34,34,34,34,34,34,220,22
Benin,23,33,33,33,33,33,33,33,84,24
Botswana,45,33,33,33,33,33,33,33,63,25
Burkina Faso,32,33,33,33,33,33,33,33,21,21
Burundi,32,35,35,35,35,35,35,35,23.89,23.89
Cameroon,34,45,45,45,45,45,45,45,25.55,25.55
Cape Verde,35,43,43,43,43,43,43,43,24.35,24.35
Central African Republic(CAR),46,34.5,34.5,34.5,34.5,34.5,34.5,34.5,23.65,23.65
Chad,48,43,43,43,43,43,43,43,29.87,29.87
Comoros,35,32,32,32,32,32,32,32,33,33
"Congo, Republic of the",34,34,34,34,34,34,34,34,32.89,32.89
Djibouti,37.6,34,34,34,34,34,34,34,65,21.09
Egypt,43,34,34,34,34,34,34,34,596,22.78
Equatorial Guinea,43,35,35,35,35,35,35,35,26.66,26.66
Eritrea,23,35,35,35,35,35,35,35,30,30
Eswatini (Swaziland),34,33,33,33,33,33,33,33,30,30
Ethiopia,34,32,32,32,32,32,32,32,28,28
Gabon,35,33,33,33,33,33,33,33,27,27
Gambia,35,42,42,42,42,42,42,42,29,29
Ghana,36,42,42,42,42,42,42,42,26,26
Guinea,32,32,32,32,32,32,32,32,27.86,27.86
Guinea-Bissau,38,28,28,28,28,28,28,28,25.66,25.66
Ivory Coast,34.5,34,34,34,34,34,34,34,25.65,25.65
Kenya,34,37.89,37.89,37.89,37.89,37.89,37.89,37.89,27.43,27.43
Lesotho,34,36,36,36,36,36,36,36,29.8,29.8
Liberia,35,36,36,36,36,36,36,36,25.44,25.44
Libya,36,35,35,35,35,35,35,35,32,32
Madagascar,37,34,23,23,23,32,24.78,24.78,31,31
Malawi,38,34.78,32,32,32,34,34.32,34.32,32,32
Mali,39,38.76,34.67,34.67,34.67,33,34.32,34.32,30.89,30.89
Mauritania,40,37.56,43.3,43.3,43.3,33,25.78,25.78,28,28
Mauritius,41,33,35.55,35.55,35.55,33,30,30,69,27
Morocco,42,32,41.9,41.9,41.9,35,30,30,24.78,26
Mozambique,43,31,36.5,36.5,36.5,45,28,28,34.32,26
Nambia,44,32,35,35,35,43,27,27,34.32,27
Niger,45,42,35,35,35,34.5,29,29,25.78,26.89
Nigeria,46,4.44,36,36,36,43,26,26,30,26.56
Rwanda,47,41.09,34,34,34,32,27.86,27.86,30,30
Sao Tome and Principe,34,31,34,34,34,34,25.66,25.66,28,32.5
Senegal,32,29,32,32,32,34,25.65,25.65,27,29.08
Seychelles,34,27,31,31,31,34,27.43,27.43,29,20
Sierra Leone,35,26,38,38,38,35,29.8,29.8,26,22
Somalia,36,26,37,37,37,35,25.44,25.44,27.86,22
South Africa,37,25,30,30,30,33,32,32,25.66,24
South Sudan,38,43,29,29,29,32,31,31,25.65,24
Sudan,39,44,28.9,34,32,33,32,32,27.43,23
Tanzania,40,43,29.5,32,21,42,30.89,30.89,29.8,25
Togo,35.65,35,21,31,31,42,28,28,25.44,24
Uganda,34.23,33,22,38,38,32,34,34,32,23
Zambia,43,32,23,37,43,28,35,35,31,21
Zimbabwe,34,45.6,24,30,44,34,32,32,32,20
